ID,Age,Gender,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Order,PnP_1,PnP_2,PnP_3,PnP_4,PnP_5,PnP_6,VR_1,VR_2,VR_3,VR_4,VR_5,VR_6
1,28,Male,1,1,4,1,4,3,2,4,1,1,1,9,3,8,9,7,9,3,5,2,3,4,1
2,25,Female,1,3,1,1,4,3,4,2,2,1,2,9,3,4,10,4,9,4,8,7,2,6,2
3,29,Male,3,1,3,4,4,4,2,4,1,1,1,8,3,4,5,4,8,4,7,7,5,6,1
4,25,Female,1,3,2,4,3,3,2,2,2,2,2,3,1,1,9,2,1,3,2,6,6,5,1
5,22,Female,3,3,1,1,1,1,3,4,1,1,1,8,3,4,5,4,7,6,6,7,3,6,4
6,23,Male,1,1,4,3,4,2,2,2,2,1,2,6,3,4,7,4,6,3,6,4,3,4,3
7,26,Male,1,1,4,3,4,3,4,2,3,1,1,3,1,3,4,3,2,6,4,6,5,7,5
8,25,Female,3,1,4,3,4,3,2,2,2,1,2,8,2,8,5,7,8,4,5,2,3,3,2
9,23,Undefined,1,3,4,2,4,3,4,1,1,2,1,4,2,3,7,3,5,7,8,8,9,8,6
10,23,Female,3,1,2,1,4,3,2,2,2,1,2,7,1,2,6,2,3,8,5,8,5,4,4
11,27,Male,1,1,4,1,4,3,2,2,2,1,1,6,1,5,8,4,7,4,4,6,4,4,2
12,23,Female,3,1,4,3,3,2,2,2,3,1,2,7,1,2,8,4,8,2,2,8,2,4,3
13,24,Male,3,1,4,3,4,3,2,2,2,1,1,4,2,5,6,6,8,4,3,7,3,4,1
14,20,Undefined,2,1,4,1,2,3,2,4,3,1,2,3,1,2,6,2,2,5,6,6,8,4,5
15,24,Male,3,1,3,2,4,3,2,2,2,1,1,3,1,4,4,3,2,4,3,5,3,4,2
16,21,Male,3,1,4,3,4,3,2,2,2,1,2,3,4,2,7,4,3,4,5,6,5,6,4
17,24,Female,3,2,2,4,3,3,3,1,2,1,1,5,2,3,6,3,6,8,6,7,2,7,6
18,20,Male,3,1,4,1,4,3,2,3,2,1,2,7,2,3,4,4,3,4,7,8,7,6,7
19,24,Female,1,3,2,1,4,3,2,2,2,4,1,7,2,7,8,7,8,6,4,5,4,5,3
20,23,Male,1,1,4,3,4,3,2,3,2,1,2,8,3,3,7,7,8,2,4,8,2,4,2
21,21,Female,1,1,4,1,2,3,2,4,3,1,1,3,6,7,6,4,7,2,2,3,2,1,1
22,23,Male,1,1,4,3,4,4,2,2,2,1,2,3,1,3,4,3,1,6,6,5,3,4,4
23,25,Female,3,1,4,1,2,3,2,2,2,4,1,8,1,6,9,7,9,4,5,4,3,6,1
24,29,Female,1,3,2,1,4,3,2,1,2,1,2,9,10,6,8,8,10,4,3,3,1,2,1
25,26,Female,2,2,4,1,4,4,2,4,2,3,1,6,2,4,6,5,7,7,2,6,5,6,4
26,20,Female,3,3,4,1,4,2,2,2,2,1,2,6,1,3,7,5,6,6,6,7,7,6,6
27,20,Female,4,3,1,2,3,1,4,2,2,3,1,3,4,3,4,4,5,8,3,8,9,7,9
28,23,Male,1,2,4,3,4,2,2,2,3,1,2,2,1,3,9,1,7,8,8,8,3,7,1
29,26,Male,3,1,4,1,4,3,2,2,2,1,1,8,3,7,7,4,5,8,7,9,3,5,4
30,26,Female,3,1,1,3,4,3,2,4,2,1,2,5,2,3,6,3,7,5,6,5,5,5,4
